"Nivel","zona","Ubigeo","Lugar","Pob2007","Pob2017","Pob2019","Pob_menores_un_año_2017","Pob_mayor_ 80_años_2019","Pob_Discapacidad_2019","Superficie","Densidad","Capital legal","Altitud","Latitud","Longitud","Tipología","N_Provincias","N_Distritos","N_CCPP","País_fronterizo","Pob_menor_un_año_2017","nacidos_vivos_madre_2019","nacidos_vivos_bajo_peso_madre_2019","pct_nacidos_vivos_bajo_peso_2019","menores_un_año_dni_30dias_2019","pct_desnutricion_cronica_menores_5_años_2018","pct_anemia_6m_35m_2018","pct_15a_mas_sobrepeso_2018","distritos_meta_4","idh_2019","indice_densidad_estado_2017","hab_sit_probreza_2018","pct_pobreza_total_2018","hab_pobreza_extrema_2018_2013","pct_pobreza_extrema_2018_2013","pob_ocupada_2007","pob_ocupada_2017","devengado_percapita_soles_2019_actividad","devengado_percapita_soles_2019_inversion","devengado_percapita_soles_2019_total"
"Región","ZONA CENTRO",150000,"LIMA",8730820,10135009,11245182,137218,214789,28470,34824,291,"Lima",162,-12.0453,-77.0308,"-",10,171,5229,"No",137218,152156,8426,5.5,90880,7.3,35.4,38.6,73,0.7073,0.8275,1276525,12.6,50675,0.5,3625326,4873073,6727.1,664.8,7392
"Región","ZONA NORTE",010000,"AMAZONAS",406087,417365,472870,8043,7320,8780,39249,11,"Chachapoyas",2338,-6.2294,-77.8728,"-",7,84,3174,"Ecuador",8043,5703,386,6.8,5220,25.7,27,33.1,35,0.4177,0.6629,144200,34.6,28590,6.9,124320,142701,3420.6,1717.7,5138
"Región","ZONA NORTE",060000,"CAJAMARCA",1476708,1427527,1600862,24296,32997,21671,33304,43,"Cajamarca",2731,-7.1547,-78.5108,"-",13,127,6513,"Ecuador",24296,20339,1694,8.3,17330,26.6,35.7,34.7,107,0.4251,0.6917,597420,41.9,159883,11.2,439480,494361,2738.6,953.7,3692
"Región","ZONA NORTE",130000,"LA LIBERTAD",1682213,1888972,2049071,32610,37629,8530,25495,74,"Trujillo",74,-8.1,-79.0306,"-",12,83,3506,"No",32610,26068,1651,6.3,21456,18.8,50.4,38.9,53,0.5482,0.7662,436353,23.1,58558,3.1,567300,737260,2089.4,778.4,2868
"Región","ZONA NORTE",140000,"LAMBAYEQUE",1174519,1244821,1390570,20923,26936,6350,14462,86,"Chiclayo",28,-6.7669,-79.8506,"-",3,38,1469,"No",20923,17886,1187,6.6,15901,17.1,44.4,37.7,16,0.5343,0.7665,156225,12.6,6224,0.5,377864,479221,2216.3,530.2,2747
"Región","ZONA NORTE",160000,"LORETO",944717,981897,1156517,20899,12136,4002,368799,3,"Iquitos",107,-3.7481,-73.2442,"-",8,53,2375,"BrasilColombiaEcuador",20899,19770,1605,8.1,10648,24.1,44.2,34.6,28,0.4834,0.6163,339245,34.6,67260,6.9,293382,337630,3206.3,914.2,4120
"Región","ZONA NORTE",200000,"PIURA",1725502,1929970,2068288,34794,35593,15560,35656,54,"Piura",57,-5.1525,-80.6578,"-",8,65,2803,"Ecuador",34794,26519,1932,7.3,21290,21.8,28.7,38.9,32,0.513,0.7049,445823,23.1,59829,3.1,530530,695074,2221.9,1095.1,3317
"Región","ZONA NORTE",220000,"SAN MARTÍN",746844,862459,957992,16361,11364,8022,51306,17,"Moyobamba",895,-6.0347,-76.9742,"-",10,77,2510,"No",16361,14950,940,6.3,11130,13.9,36,37.5,16,0.4832,0.7017,199228,23.1,26736,3.1,284443,343462,2536.8,1267.3,3804
"Región","ZONA NORTE",240000,"TUMBES",210798,234698,247778,4150,3494,4107,4669,50,"Tumbes",9,-3.5711,-80.4592,"-",3,13,190,"Ecuador",4150,4028,269,6.7,3060,9.7,38.3,38.7,4,0.5552,0.7426,29455,12.6,1173,0.5,73443,95073,3535.2,1315.9,4851
"Región","ZONA CENTRO",020000,"ÁNCASH",1097098,1139115,1247193,18028,28706,8706,35881,32,"Huaraz",3073,-9.5297,-77.5292,"-",20,166,7411,"No",18028,17781,1042,5.9,12690,20.9,44.7,36,68,0.5159,0.7351,263136,23.1,35313,3.1,346356,409239,3139.1,1371.9,4511
"Región","ZONA CENTRO",070000,"CALLAO",897144,1046953,1146773,15126,19847,3157,146,7175,"Callao",27,-12.0631,-77.1469,"-",1,7,7,"No",15126,16929,933,5.5,10416,7.8,35.3,39.2,7,0.6402,0.8084,131393,12.6,5235,0.5,351857,471156,3767.5,623.2,4391
"Región","ZONA CENTRO",100000,"HUÁNUCO",804220,759962,861293,14022,13014,10231,37263,20,"Huánuco",1921,-9.93,-76.2397,"-",11,84,6365,"No",14022,15321,1014,6.6,9452,20,22.7,33.6,49,0.4537,0.655,262567,34.6,52057,6.9,237893,268045,2940.7,1385.7,4326
"Región","ZONA CENTRO",120000,"JUNÍN",1273648,1316894,1405124,22675,23954,5674,44329,30,"Huancayo",3294,-12.0708,-75.2089,"-",9,124,4530,"No",22675,20475,1448,7.1,16470,24.2,43.2,36.8,46,0.5107,0.7339,304203,23.1,40824,3.1,444371,543729,2678.5,678.1,3357
"Región","ZONA CENTRO",190000,"PASCO",285291,272136,291509,4524,3790,4400,25026,11,"Cerro de Pasco",4373,-10.6825,-76.2569,"-",3,29,2700,"No",4524,4757,436,9.2,3172,20.8,38.4,37.6,6,0.4785,0.7013,94023,34.6,18641,6.9,93752,104845,3685,2337.2,6022
"Región","ZONA CENTRO",250000,"UCAYALI",444209,548998,624257,11861,5264,2696,102199,5,"Pucallpa",162,-8.3681,-74.5433,"-",4,17,1025,"Brasil",11861,11522,877,7.6,8898,19.7,53.9,37.9,7,0.4835,0.6398,68899,12.6,2745,0.5,155213,211397,2677.4,1527.2,4205
"Región","ZONA SUR",030000,"APURÍMAC",438761,424259,456233,7048,10555,6074,20896,20,"Abancay",2500,-13.6289,-72.8861,"-",7,84,4138,"No",7048,7292,482,6.6,6097,21.9,34.6,33.7,36,0.4109,0.7433,146581,34.6,13152,3.1,112316,147745,3939.9,2561.2,6501
"Región","ZONA SUR",040000,"AREQUIPA",1180683,1460433,1553291,20731,31122,4925,63344,23,"Arequipa",2429,-16.3933,-71.5289,"-",8,109,4727,"No",20731,20492,972,4.7,18725,8.5,33.2,37.5,32,0.6425,0.8012,183284,12.6,7302,0.5,464472,684665,2675.5,1032.5,3708
"Región","ZONA SUR",050000,"AYACUCHO",627317,650940,688137,10813,15210,8378,43803,15,"Ayacucho",2797,-13.1603,-74.2253,"-",11,119,7419,"No",10813,11704,660,5.6,8224,21.7,31.1,34.2,35,0.4327,0.7318,224900,34.6,44589,6.9,194256,250954,3675.9,1898.1,5574
"Región","ZONA SUR",080000,"CUSCO",1247503,1315220,1456231,20687,22852,13464,71987,18,"Cusco",3439,-13.5192,-71.9767,"-",13,112,8968,"No",20687,22076,1359,6.2,16779,18.1,44.8,33.9,55,0.5121,0.7449,303816,23.1,40772,3.1,423199,543334,3282.7,1978.5,5261
"Región","ZONA SUR",090000,"HUANCAVELICA",463651,367252,434592,6130,8795,7723,22125,17,"Huancavelica",3746,-12.7869,-74.9714,"-",7,100,6702,"No",6130,7348,536,7.3,4826,30.8,41.3,29.6,56,0.3838,0.6979,126886,34.6,25157,6.9,130087,119097,4570.1,2181.4,6751
"Región","ZONA SUR",110000,"ICA",722321,893292,932965,15350,16921,4018,21306,42,"Ica",432,-14.0636,-75.7292,"-",5,43,1297,"No",15350,14602,690,4.7,12767,8.5,25.5,37.1,22,0.6,0.7782,27692,3.1,4466,0.5,279520,389686,2453.7,849.1,3303
"Región","ZONA SUR",170000,"MADRE DE DIOS",111604,161204,175969,3117,898,962,85301,2,"Puerto Maldonado",204,-12.5936,-69.1767,"-",3,11,307,"BoliviaBrasil",3117,3285,145,4.4,2616,10.5,52,38.5,3,0.6136,0.7171,4997,3.1,806,0.5,49712,73570,4509.3,2955.2,7465
"Región","ZONA SUR",180000,"MOQUEGUA",165871,182017,197367,2413,3890,1326,15734,12,"Moquegua",1428,-17.1942,-70.9333,"-",3,20,1241,"No",2413,2432,93,3.8,1695,4.7,25,38.8,7,0.6589,0.7762,22843,12.6,910,0.5,67972,86094,4622.4,2690.8,7313
"Región","ZONA SUR",210000,"PUNO",1317911,1226936,1279979,16973,25228,8900,66994,18,"Puno",3848,-15.8403,-70.0281,"-",13,110,9372,"Bolivia",16973,16206,1037,6.4,12020,15.1,49.6,32.4,65,0.4656,0.6532,423906,34.6,84045,6.9,456897,476468,2835.9,1328.4,4164
"Región","ZONA SUR",230000,"TACNA",306461,349056,379129,4702,4701,1004,16076,22,"Tacna",583,-18.0019,-70.2519,"-",4,28,944,"Chile",4702,4508,187,4.1,3227,3.3,23.7,40.9,7,0.59,0.7762,43807,12.6,1745,0.5,127311,171689,3542.4,1246.7,4789
